year,category,sub_category,winner,entity,
2012,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,Snow White and the Huntsman,
2012,WRITING,WRITING (Adapted Screenplay),TRUE,Argo,
2012,WRITING,WRITING (Adapted Screenplay),FALSE,Beasts of the Southern Wild,
2012,WRITING,WRITING (Adapted Screenplay),FALSE,Life of Pi,
2012,WRITING,WRITING (Adapted Screenplay),FALSE,Lincoln,
2012,WRITING,WRITING (Adapted Screenplay),FALSE,Silver Linings Playbook,
2012,WRITING,WRITING (Original Screenplay),FALSE,Amour,
2012,WRITING,WRITING (Original Screenplay),TRUE,Django Unchained,
2012,WRITING,WRITING (Original Screenplay),FALSE,Flight,
2012,WRITING,WRITING (Original Screenplay),FALSE,Moonrise Kingdom,
2012,WRITING,WRITING (Original Screenplay),FALSE,Zero Dark Thirty,
2011,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,A Cat in Paris,
2011,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Chico & Rita,
2011,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Kung Fu Panda 2,
2011,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Puss in Boots,
2011,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,TRUE,Rango,
2011,ART DIRECTION,ART DIRECTION,FALSE,The Artist,
2011,ART DIRECTION,ART DIRECTION,FALSE,Harry Potter and the Deathly Hallows Part 2,
2011,ART DIRECTION,ART DIRECTION,TRUE,Hugo,
2011,ART DIRECTION,ART DIRECTION,FALSE,Midnight in Paris,
2011,ART DIRECTION,ART DIRECTION,FALSE,War Horse,
2011,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,The Artist,
2011,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,The Girl with the Dragon Tattoo,
2011,CINEMATOGRAPHY,CINEMATOGRAPHY,TRUE,Hugo,
2011,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,The Tree of Life,
2011,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,War Horse,
2011,COSTUME DESIGN,COSTUME DESIGN,FALSE,Anonymous,
2011,COSTUME DESIGN,COSTUME DESIGN,TRUE,The Artist,
2011,COSTUME DESIGN,COSTUME DESIGN,FALSE,Hugo,
2011,COSTUME DESIGN,COSTUME DESIGN,FALSE,Jane Eyre,
2011,COSTUME DESIGN,COSTUME DESIGN,FALSE,W.E.,
2011,DIRECTING,DIRECTING,TRUE,The Artist,
2011,DIRECTING,DIRECTING,FALSE,The Descendants,
2011,DIRECTING,DIRECTING,FALSE,Hugo,
